fiscal_year,ministry,department,state,district,scheme,allocated_budget,released_budget,spent_budget,quarter,month,vendor_name,project_cost,invoice_amount,utilization_pct,anomaly_type
2023-24,Power & Energy,Directorate of Power,Telangana,Ramagundam,UDAY Scheme,124704901.22,88027891.94,72821503.82,Q4,1,Techno Electric,99943267.55,100560531.36,58.4,normal
2021-22,Agriculture & Farmers Welfare,Directorate of Agriculture,Bihar,Gaya,PM-KISAN,119764312.55,105648354.26,130506399.46,Q1,6,Laxmi Infra Works,113776096.92,138026330.23,108.97,overspent
2019-20,Infrastructure & Roads,Directorate of Infrastructure,Gujarat,Jamnagar,Bharatmala,216094540.02,179524192.64,158574486.26,Q1,6,KEC International,175495245.6,177115424.42,73.38,normal
2023-24,Health & Family Welfare,Directorate of Health,Bihar,Muzaffarpur,National Health Mission,211518938.28,162858119.29,153973393.25,Q4,1,Agri Gold Farms,203397552.09,209173032.47,72.79,normal
2020-21,Health & Family Welfare,Directorate of Health,Uttar Pradesh,Lucknow,Ayushman Bharat,243334921.6,197658835.4,132186980.57,Q2,8,Educomp Solutions,194772833.04,186702082.51,54.32,normal
2022-23,Women & Child Development,Directorate of Women,Madhya Pradesh,Rewa,One Stop Centre,149057204.92,136511962.99,117187198.5,Q2,7,Larsen & Toubro Ltd,61327061.13,160544963.1,78.62,inflated
2023-24,Social Justice,Directorate of Social Justice,Karnataka,Hubballi,PM SVANidhi,35192145.02,33126696.09,25812592.45,Q1,4,RITES Ltd,32228396.7,29197678.54,73.35,normal
2020-21,Health & Family Welfare,Directorate of Health,West Bengal,Bardhaman,Poshan Abhiyaan,133541641.75,117615495.05,93658614.01,Q3,10,Hindustan Construction Co,107082113.68,106351159.21,70.13,normal
2020-21,Urban Development,Directorate of Urban Development,Maharashtra,Pune,HRIDAY,466696429.62,432092778.78,342382441.8,Q3,10,Balaji Trading Co,414256978.84,416047313.09,73.36,repeat_vendor
2021-22,Rural Development,Directorate of Rural Development,Odisha,Bhubaneswar,Shyama Prasad Mukherji Rurban Mission,132968494.82,119469976.91,88271823.38,Q1,4,Sri Ram Suppliers,122459458.2,125124325.25,66.39,repeat_vendor
2022-23,Infrastructure & Roads,Directorate of Infrastructure,Telangana,Khammam,AMRUT,47056935.39,36585377.33,23822005.78,Q3,10,Dilip Buildcon Ltd,43641668.92,40992326.75,50.62,normal
2019-20,Women & Child Development,Directorate of Women,Karnataka,Ballari,One Stop Centre,472580418.58,304680292.13,7849936.02,Q1,4,Narayana Health,401693355.79,7777525.62,1.66,low_utilization
2021-22,Education,Directorate of Education,West Bengal,Asansol,Samagra Shiksha,449563393.63,346104617.73,236352752.61,Q3,10,Everonn Education,447211010.25,452766105.17,52.57,normal
2019-20,Infrastructure & Roads,Directorate of Infrastructure,Rajasthan,Udaipur,Smart Cities Mission,462319160.33,384807947.34,333811959.97,Q2,9,Balaji Trading Co,394525206.59,405862855.35,72.2,repeat_vendor
2020-21,Health & Family Welfare,Directorate of Health,West Bengal,Kolkata,Janani Suraksha Yojana,175479553.8,162189540.86,122571645.54,Q2,8,Balaji Trading Co,154368169.46,150950505.44,69.85,repeat_vendor
2022-23,Health & Family Welfare,Directorate of Health,Madhya Pradesh,Sagar,PMJAY,58555534.17,48935654.11,46122189.85,Q3,10,Laxmi Infra Works,23870247.79,62902871.18,78.77,inflated
2023-24,Water Resources,Directorate of Water Resources,Punjab,Mohali,National River Conservation Plan,449852861.72,320487877.78,253037487.83,Q1,5,PNC Infratech,392651503.65,357507651.61,56.25,normal
2021-22,Water Resources,Directorate of Water Resources,Odisha,Puri,Jal Jeevan Mission,204788061.4,160304706.6,110727605.94,Q3,12,Everonn Education,191064371.08,182824107.06,54.07,normal
2023-24,Education,Directorate of Education,Odisha,Sambalpur,National Scholarship Portal,144169944.72,124331545.98,106863684.84,Q1,5,Kaveri Seeds,128074408.9,128246551.79,74.12,normal
2021-22,Social Justice,Directorate of Social Justice,Gujarat,Vadodara,PM SVANidhi,409393308.8,328267398.99,18364101.12,Q3,10,PNC Infratech,347984312.48,17635317.68,4.49,low_utilization
2019-20,Agriculture & Farmers Welfare,Directorate of Agriculture,Bihar,Begusarai,RKVY,443182317.62,399367920.49,308660726.57,Q4,2,NIIT Technologies,376171771.98,375573170.47,69.65,normal
2020-21,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Thane,Pradhan Mantri Fasal Bima Yojana,279145491.22,230091734.13,178704845.8,Q4,1,Shapoorji Pallonji,148928459.31,474046648.16,64.02,inflated
2023-24,Urban Development,Directorate of Urban Development,Tamil Nadu,Tirunelveli,HRIDAY,223510892.43,210372603.61,167040543.27,Q4,3,RITES Ltd,216352414.66,203716720.32,74.73,normal
2022-23,Social Justice,Directorate of Social Justice,Gujarat,Rajkot,Ambedkar Social Innovation,143578347.28,113357787.1,93276309.02,Q1,6,Dilip Buildcon Ltd,119193881.14,114122812.49,64.97,normal
2022-23,Education,Directorate of Education,Punjab,Patiala,Samagra Shiksha,271762959.11,205972850.58,161574563.44,Q4,2,Tata Projects Ltd,263975973.74,267893162.42,59.45,normal
2021-22,Power & Energy,Directorate of Power,Gujarat,Ahmedabad,National Solar Mission,269572063.24,226429871.89,37055206.78,Q4,2,Mahindra Agri,229136253.75,35771596.42,13.75,low_utilization
2021-22,Power & Energy,Directorate of Power,Gujarat,Ahmedabad,UDAY Scheme,83357320.87,61328963.76,52075786.32,Q4,3,Tata Projects Ltd,81805688.74,80888149.29,62.47,normal
2022-23,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Thane,Pradhan Mantri Fasal Bima Yojana,130818000.65,108227800.3,82036691.61,Q2,7,Educomp Solutions,111934595.35,116712033.05,62.71,normal
2019-20,Power & Energy,Directorate of Power,Madhya Pradesh,Indore,UDAY Scheme,112886860.69,109278993.1,72439143.51,Q1,5,Tata Projects Ltd,111749226.03,103916063.72,64.17,normal
2020-21,Agriculture & Farmers Welfare,Directorate of Agriculture,Odisha,Rourkela,Pradhan Mantri Fasal Bima Yojana,58080333.61,51866132.67,41557673.41,Q4,3,Larsen & Toubro Ltd,25181183.33,66733824.65,71.55,inflated
2023-24,Health & Family Welfare,Directorate of Health,Rajasthan,Bikaner,Ayushman Bharat,288322567.48,252299947.21,236731556.87,Q1,5,Ganesh Construction Pvt Ltd,119711326.91,331224503.8,82.11,inflated
2019-20,Infrastructure & Roads,Directorate of Infrastructure,Maharashtra,Aurangabad,AMRUT,266839877.41,229573956.87,332018980.04,Q1,5,Larsen & Toubro Ltd,253497883.54,360226503.35,124.43,overspent
2022-23,Women & Child Development,Directorate of Women,Maharashtra,Thane,Mission Shakti,88892343.58,78414432.01,66424234.38,Q2,8,Nuziveedu Seeds,79378618.67,81272607.57,74.72,normal
2019-20,Urban Development,Directorate of Urban Development,Madhya Pradesh,Sagar,AMRUT 2.0,122687856.16,106847980.05,82409344.35,Q3,11,Tata Projects Ltd,110279365.97,104627782.83,67.17,normal
2021-22,Women & Child Development,Directorate of Women,Bihar,Purnia,Mission Shakti,350890691.42,246620824.83,235123368.11,Q3,12,IRB Infrastructure,297650471.41,286031452.7,67.01,normal
2022-23,Social Justice,Directorate of Social Justice,Bihar,Begusarai,Pradhan Mantri Adarsh Gram Yojana,147823555.08,113547034.16,97930593.41,Q1,4,Narayana Health,132250653.65,129557804.15,66.25,normal
2022-23,Power & Energy,Directorate of Power,Punjab,Mohali,National Solar Mission,126450434.42,95333967.01,65614319.44,Q3,11,HG Infra Engineering,106004435.39,107148297.24,51.89,normal
2020-21,Rural Development,Directorate of Rural Development,Punjab,Bathinda,MGNREGS,181079653.51,162653925.24,112313600.3,Q3,10,Shapoorji Pallonji,180148720.52,177086884.95,62.02,normal
2019-20,Education,Directorate of Education,Telangana,Adilabad,Samagra Shiksha,239878390.09,232763438.74,170101911.46,Q3,11,Nuziveedu Seeds,197376120.0,179573093.05,70.91,normal
2020-21,Women & Child Development,Directorate of Women,Maharashtra,Mumbai,Beti Bachao Beti Padhao,496965143.23,454248089.22,383395221.04,Q3,10,Techno Electric,474670644.8,454286722.76,77.15,normal
2023-24,Women & Child Development,Directorate of Women,Madhya Pradesh,Rewa,Mission Shakti,480094279.94,438597997.81,372880583.36,Q1,6,WAPCOS Ltd,447488978.15,413282278.07,77.67,normal
2019-20,Education,Directorate of Education,Karnataka,Mysuru,PM POSHAN,344996196.76,244650313.0,181577887.9,Q4,2,MECON Limited,324502564.19,314152457.22,52.63,normal
2019-20,Infrastructure & Roads,Directorate of Infrastructure,Madhya Pradesh,Jabalpur,Smart Cities Mission,75345711.14,55742728.14,37296577.14,Q2,9,BHEL,69243372.14,70880011.61,49.5,normal
2021-22,Rural Development,Directorate of Rural Development,Gujarat,Surat,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,250735616.38,181162429.92,120066387.93,Q4,2,Pearson India,237423256.31,235181279.46,47.89,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Nashik,RKVY,410889201.38,375417350.77,265067562.47,Q1,6,Agri Gold Farms,403992244.35,374591051.1,64.51,normal
2022-23,Urban Development,Directorate of Urban Development,West Bengal,Jalpaiguri,Smart Cities,167320888.44,163750254.68,192241845.46,Q3,11,Mahindra Agri,158954844.02,197782597.55,114.89,overspent
2019-20,Power & Energy,Directorate of Power,Karnataka,Bengaluru,UDAY Scheme,162313619.35,142971518.75,121943160.61,Q3,11,M/s Shiv Enterprises,86274895.27,220831899.22,75.13,inflated
2021-22,Power & Energy,Directorate of Power,Uttar Pradesh,Varanasi,RDSS,221578436.91,171673598.91,118785123.3,Q4,3,MECON Limited,196678165.43,197609929.1,53.61,normal
2021-22,Health & Family Welfare,Directorate of Health,Uttar Pradesh,Varanasi,National Health Mission,204587352.96,191410616.2,131366552.53,Q1,6,Kalpataru Power,190172524.51,175547433.67,64.21,normal
2022-23,Rural Development,Directorate of Rural Development,Karnataka,Belagavi,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,228936449.89,172474060.18,145188807.28,Q4,1,Dilip Buildcon Ltd,222710611.71,209668034.75,63.42,normal
2021-22,Power & Energy,Directorate of Power,Tamil Nadu,Salem,DDUGJY,290381768.56,284512888.54,343801623.51,Q3,12,Nuziveedu Seeds,275862680.13,355667040.66,118.4,overspent
2021-22,Social Justice,Directorate of Social Justice,Karnataka,Ballari,Pradhan Mantri Adarsh Gram Yojana,120163966.54,112916112.67,88238073.87,Q2,9,Apollo Hospitals,114028518.21,114688079.93,73.43,normal
2019-20,Power & Energy,Directorate of Power,West Bengal,Asansol,UDAY Scheme,482711441.5,351463208.75,323491171.18,Q2,9,KEC International,436945674.65,423199019.05,67.02,normal
2022-23,Education,Directorate of Education,West Bengal,Asansol,Samagra Shiksha,312006440.86,225420999.85,170224636.65,Q3,11,Educomp Solutions,309144692.36,307295969.03,54.56,normal
2019-20,Women & Child Development,Directorate of Women,Karnataka,Bengaluru,One Stop Centre,342515387.63,261577685.79,177590684.94,Q2,9,KEC International,326099974.13,327920793.9,51.85,normal
2019-20,Health & Family Welfare,Directorate of Health,Gujarat,Vadodara,Poshan Abhiyaan,398275589.12,320594128.02,223320206.16,Q1,5,Everonn Education,363699537.75,370565428.92,56.07,normal
2022-23,Education,Directorate of Education,Rajasthan,Jodhpur,NIPUN Bharat,456501679.0,378495574.02,276783498.75,Q2,8,WAPCOS Ltd,426084124.61,440927310.37,60.63,normal
2022-23,Women & Child Development,Directorate of Women,Madhya Pradesh,Gwalior,POSHAN 2.0,150277970.31,140970158.95,118607662.64,Q3,12,Laxmi Infra Works,66098773.38,154576644.72,78.93,inflated
2023-24,Women & Child Development,Directorate of Women,Maharashtra,Nashik,PM Matru Vandana Yojana,148640322.72,90162526.3,13777375.88,Q3,12,NIIT Technologies,126344274.31,13353220.44,9.27,low_utilization
2022-23,Urban Development,Directorate of Urban Development,Telangana,Hyderabad,HRIDAY,303925434.08,266923426.03,226533953.78,Q3,10,Dilip Buildcon Ltd,281328462.79,291318592.81,74.54,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Madhya Pradesh,Satna,PM-KISAN,66574491.4,57609825.05,47994780.89,Q3,12,Ganesh Construction Pvt Ltd,28389490.82,72539999.75,72.09,inflated
2021-22,Water Resources,Directorate of Water Resources,Karnataka,Belagavi,Atal Bhujal Yojana,373533116.01,273518697.12,262065335.19,Q4,2,NCC Limited,355166604.24,331669564.62,70.16,normal
2022-23,Power & Energy,Directorate of Power,Karnataka,Davangere,DDUGJY,268749581.83,238754964.24,206558631.73,Q1,5,Educomp Solutions,259204526.62,269843261.16,76.86,normal
2019-20,Health & Family Welfare,Directorate of Health,Telangana,Karimnagar,Janani Suraksha Yojana,111462232.84,103735614.95,97615633.21,Q3,12,BHEL,103642921.94,95092525.0,87.58,normal
2019-20,Agriculture & Farmers Welfare,Directorate of Agriculture,Uttar Pradesh,Allahabad,Kisan Credit Card,443742394.96,366983947.27,317278023.06,Q1,4,Everonn Education,407119478.29,410779430.53,71.5,normal
2023-24,Power & Energy,Directorate of Power,Telangana,Warangal,UDAY Scheme,17325427.14,14278703.38,13624419.7,Q4,2,Narayana Health,14204613.97,14245126.09,78.64,normal
2022-23,Social Justice,Directorate of Social Justice,Telangana,Ramagundam,PM SVANidhi,484135231.09,467112172.85,358898484.08,Q3,10,Ganesh Construction Pvt Ltd,255788440.54,674259440.24,74.13,inflated
2020-21,Agriculture & Farmers Welfare,Directorate of Agriculture,Uttar Pradesh,Meerut,Pradhan Mantri Fasal Bima Yojana,415079100.77,358706072.19,326486000.15,Q2,7,Techno Electric,359338921.41,331358323.25,78.66,normal
2020-21,Urban Development,Directorate of Urban Development,Uttar Pradesh,Allahabad,AMRUT 2.0,55853247.6,43362263.38,34237133.38,Q3,10,Balaji Trading Co,51260467.69,48778338.88,61.3,repeat_vendor
2023-24,Rural Development,Directorate of Rural Development,Uttar Pradesh,Agra,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,32715461.04,26217218.87,22021759.28,Q1,6,Agri Gold Farms,29469031.84,30701201.21,67.31,normal
2019-20,Agriculture & Farmers Welfare,Directorate of Agriculture,Punjab,Bathinda,Kisan Credit Card,423801973.04,309472623.33,271707190.38,Q1,5,Agri Gold Farms,345270680.5,314927799.92,64.11,normal
2021-22,Urban Development,Directorate of Urban Development,Rajasthan,Jodhpur,AMRUT 2.0,497319250.17,411303070.27,347031443.09,Q3,11,KEC International,476739791.0,437247673.05,69.78,normal
2022-23,Social Justice,Directorate of Social Justice,Punjab,Patiala,Pradhan Mantri Adarsh Gram Yojana,170126877.8,138904700.17,94514573.51,Q2,8,Pearson India,146735234.12,137671907.8,55.56,normal
2019-20,Education,Directorate of Education,Telangana,Adilabad,Samagra Shiksha,216506382.76,154107956.73,6290451.4,Q1,4,NBCC India Ltd,184030425.35,6234167.94,2.91,low_utilization
2022-23,Social Justice,Directorate of Social Justice,Karnataka,Davangere,PM SVANidhi,470623804.56,450121656.38,299989314.96,Q3,12,MECON Limited,433012499.93,412551329.03,63.74,normal
2022-23,Urban Development,Directorate of Urban Development,Karnataka,Mangaluru,AMRUT 2.0,175706883.12,128646937.48,95088332.54,Q2,7,Techno Electric,168932376.72,173455249.56,54.12,normal
2021-22,Urban Development,Directorate of Urban Development,Odisha,Bhubaneswar,HRIDAY,137361923.97,120392404.45,9169536.67,Q1,4,HG Infra Engineering,116757635.37,9269396.5,6.68,low_utilization
2020-21,Urban Development,Directorate of Urban Development,Telangana,Mahbubnagar,Smart Cities,373309769.24,305200558.45,231673689.08,Q1,4,Narayana Health,321915270.31,305387314.24,62.06,normal
2020-21,Urban Development,Directorate of Urban Development,Odisha,Cuttack,Smart Cities,25831483.72,21286992.97,16724865.27,Q2,9,Agri Gold Farms,22804983.07,21261891.75,64.75,normal
2019-20,Social Justice,Directorate of Social Justice,Maharashtra,Solapur,Pradhan Mantri Adarsh Gram Yojana,339564641.13,301124944.6,200107630.25,Q3,12,NIIT Technologies,338508300.24,307439092.37,58.93,normal
2021-22,Infrastructure & Roads,Directorate of Infrastructure,Madhya Pradesh,Jabalpur,Bharatmala,60872187.51,49950706.79,34532892.89,Q3,11,Techno Electric,54788162.68,56158038.25,56.73,normal
2022-23,Water Resources,Directorate of Water Resources,Maharashtra,Thane,Jal Jeevan Mission,460660054.82,398540890.42,336109428.14,Q1,5,Ganesh Construction Pvt Ltd,395201661.95,391448522.94,72.96,repeat_vendor
2019-20,Water Resources,Directorate of Water Resources,Rajasthan,Sikar,PMKSY,122414920.94,103649877.98,80499195.04,Q4,1,BHEL,116191464.53,108434035.38,65.76,normal
2023-24,Education,Directorate of Education,Maharashtra,Pune,NIPUN Bharat,176198767.74,163704265.6,127613690.43,Q2,8,Balaji Trading Co,75640165.26,157042637.94,72.43,inflated
2022-23,Urban Development,Directorate of Urban Development,Rajasthan,Jodhpur,AMRUT 2.0,380178697.65,364501341.82,302768436.18,Q4,3,Apollo Hospitals,369856608.38,367668022.97,79.64,normal
2022-23,Education,Directorate of Education,Gujarat,Surat,National Scholarship Portal,296118458.66,213434303.43,170268836.74,Q3,11,Shapoorji Pallonji,240264005.76,246211619.83,57.5,normal
2023-24,Health & Family Welfare,Directorate of Health,Telangana,Warangal,PMJAY,290584374.3,275411281.37,208818084.67,Q4,2,Hindustan Construction Co,154116505.5,346783323.47,71.86,inflated
2022-23,Women & Child Development,Directorate of Women,Karnataka,Hubballi,POSHAN 2.0,491210404.97,432714901.51,286684647.99,Q1,5,Agri Gold Farms,490324853.08,479836943.22,58.36,normal
2021-22,Urban Development,Directorate of Urban Development,Rajasthan,Ajmer,Housing for All,387457929.5,332382655.33,480163427.74,Q4,2,Fortis Healthcare,368085033.02,483328273.93,123.93,overspent
2021-22,Health & Family Welfare,Directorate of Health,Karnataka,Ballari,Poshan Abhiyaan,41669491.74,41149121.8,47631125.97,Q2,8,NIIT Technologies,39586017.15,48245337.24,114.31,overspent
2020-21,Health & Family Welfare,Directorate of Health,Madhya Pradesh,Rewa,Poshan Abhiyaan,335557564.0,236603165.36,177177238.24,Q1,6,GR Infraprojects,291380225.85,295728618.59,52.8,normal
2019-20,Infrastructure & Roads,Directorate of Infrastructure,Bihar,Bhagalpur,Bharatmala,254337166.65,230638111.06,188775015.53,Q3,10,Fortis Healthcare,248049584.25,246239993.04,74.22,normal
2020-21,Urban Development,Directorate of Urban Development,West Bengal,Asansol,AMRUT 2.0,219399029.16,195129463.59,141665876.39,Q2,9,Agri Gold Farms,202312031.89,204913496.51,64.57,normal
2022-23,Women & Child Development,Directorate of Women,Bihar,Muzaffarpur,Mission Shakti,339475105.71,279512692.03,250504958.94,Q2,8,Educomp Solutions,305724945.02,294351709.25,73.79,normal
2019-20,Education,Directorate of Education,Bihar,Bhagalpur,Eklavya Model School,277715831.97,260178032.05,239981227.18,Q4,2,MECON Limited,226831355.62,209602799.67,86.41,normal
2019-20,Women & Child Development,Directorate of Women,Karnataka,Hubballi,PM Matru Vandana Yojana,442430257.09,390656794.61,323968083.03,Q2,8,Larsen & Toubro Ltd,197835173.6,631556246.2,73.22,inflated
2019-20,Water Resources,Directorate of Water Resources,Bihar,Patna,PMKSY,69662194.28,64948379.53,56683245.96,Q3,10,Dilip Buildcon Ltd,66302263.41,64337496.55,81.37,normal
2021-22,Urban Development,Directorate of Urban Development,Uttar Pradesh,Kanpur,Smart Cities,274853318.48,208429916.03,7876545.19,Q2,7,MECON Limited,233625320.71,7613742.81,2.87,low_utilization
2023-24,Health & Family Welfare,Directorate of Health,Uttar Pradesh,Varanasi,Janani Suraksha Yojana,56318089.75,51775912.39,39002125.36,Q4,1,NBCC India Ltd,29004350.76,81385107.78,69.25,inflated
2021-22,Rural Development,Directorate of Rural Development,West Bengal,Kolkata,Shyama Prasad Mukherji Rurban Mission,208867230.01,180219437.95,280382606.63,Q2,9,Hindustan Construction Co,198423868.51,307114387.47,134.24,overspent
2022-23,Social Justice,Directorate of Social Justice,Karnataka,Bengaluru,Pradhan Mantri Adarsh Gram Yojana,194053779.44,176443136.14,134850202.8,Q1,6,Hindustan Construction Co,168625068.94,170301396.59,69.49,normal
2019-20,Health & Family Welfare,Directorate of Health,Odisha,Puri,National Health Mission,169935081.83,165611516.75,213337312.31,Q3,12,Nuziveedu Seeds,161438327.74,226814595.1,125.54,overspent
2021-22,Education,Directorate of Education,Maharashtra,Kolhapur,Samagra Shiksha,395763497.4,321802884.15,250207847.26,Q2,7,Ganesh Construction Pvt Ltd,394902529.92,396601823.06,63.22,repeat_vendor
2021-22,Rural Development,Directorate of Rural Development,Uttar Pradesh,Varanasi,PMGSY,166630418.5,133811785.88,125065270.22,Q1,6,Agri Gold Farms,163119098.84,156267560.88,75.06,normal
2023-24,Education,Directorate of Education,Gujarat,Anand,Eklavya Model School,363813580.85,316040100.34,288591767.78,Q3,10,MECON Limited,314423080.66,286757099.65,79.32,normal
2022-23,Rural Development,Directorate of Rural Development,Madhya Pradesh,Satna,Shyama Prasad Mukherji Rurban Mission,222510282.17,201039826.88,189322082.63,Q2,9,Pearson India,190226503.86,199167927.93,85.08,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Thane,Soil Health Card,72246954.71,69877023.08,76613538.24,Q2,7,Hindustan Construction Co,68634606.97,78421582.35,106.04,overspent
2019-20,Water Resources,Directorate of Water Resources,Tamil Nadu,Vellore,Dam Rehabilitation,225511361.79,185889692.28,125401806.77,Q2,9,Dilip Buildcon Ltd,204288933.21,196057132.48,55.61,normal
2020-21,Rural Development,Directorate of Rural Development,Bihar,Gaya,MGNREGS,194106702.64,150102221.95,110068867.63,Q4,3,Agri Gold Farms,163615273.66,162270614.2,56.71,normal
2019-20,Women & Child Development,Directorate of Women,Bihar,Gaya,Beti Bachao Beti Padhao,449440836.36,325656473.8,282740605.02,Q4,1,Apollo Hospitals,419583563.89,422281936.43,62.91,normal
2020-21,Social Justice,Directorate of Social Justice,Karnataka,Belagavi,Ambedkar Social Innovation,254869116.84,192751014.91,133854130.26,Q2,8,Mahindra Agri,205235090.81,201767277.73,52.52,normal
2019-20,Water Resources,Directorate of Water Resources,Gujarat,Vadodara,Dam Rehabilitation,199681830.4,148483315.83,12729061.78,Q1,5,Everonn Education,169729555.84,12826232.36,6.37,low_utilization
2022-23,Health & Family Welfare,Directorate of Health,Rajasthan,Ajmer,Ayushman Bharat,259162645.9,241574584.31,199641367.87,Q4,3,HG Infra Engineering,247126180.84,227196676.07,77.03,normal
2020-21,Social Justice,Directorate of Social Justice,Uttar Pradesh,Kanpur,Venture Capital Fund SCs,81821512.82,69146874.21,64963255.11,Q3,10,NBCC India Ltd,47373443.6,141376908.29,79.4,inflated
2021-22,Rural Development,Directorate of Rural Development,Bihar,Darbhanga,PMAY-G,320852726.22,276761471.96,195057112.43,Q1,6,Fortis Healthcare,310747790.72,305944470.5,60.79,normal
2021-22,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Mumbai,RKVY,208876805.05,193149574.11,258620649.72,Q2,9,MECON Limited,198432964.8,275221697.74,123.81,overspent
2021-22,Rural Development,Directorate of Rural Development,Gujarat,Rajkot,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,344618172.26,281337346.41,224682050.92,Q4,1,Fortis Healthcare,317507768.0,300644096.95,65.2,normal
2020-21,Water Resources,Directorate of Water Resources,Punjab,Mohali,National River Conservation Plan,281263956.66,233621307.23,171849716.01,Q3,12,RITES Ltd,232935925.53,211410501.55,61.1,normal
2020-21,Power & Energy,Directorate of Power,Odisha,Balasore,SAUBHAGYA,360843085.98,268689490.32,260282253.01,Q3,12,Kaveri Seeds,324669267.25,307228382.36,72.13,normal
2022-23,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Thane,RKVY,292088711.88,227472781.24,191351469.95,Q2,7,Nuziveedu Seeds,250363744.84,225634469.25,65.51,normal
2021-22,Health & Family Welfare,Directorate of Health,West Bengal,Asansol,Poshan Abhiyaan,23575954.86,20211871.74,15482447.53,Q4,2,MECON Limited,19207480.13,18739553.83,65.67,normal
2019-20,Social Justice,Directorate of Social Justice,Madhya Pradesh,Indore,NSFDC Schemes,397653716.96,382902990.42,341392038.86,Q4,2,PNC Infratech,366037299.94,351471966.63,85.85,normal
2021-22,Agriculture & Farmers Welfare,Directorate of Agriculture,Uttar Pradesh,Lucknow,Pradhan Mantri Fasal Bima Yojana,229037291.08,212392202.88,263024078.43,Q4,3,Apollo Hospitals,217585426.53,267298273.52,114.84,overspent
2021-22,Urban Development,Directorate of Urban Development,Punjab,Bathinda,HRIDAY,281899206.06,198642628.72,150173165.82,Q4,3,Kalpataru Power,280765860.25,277271819.32,53.27,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Odisha,Baripada,Soil Health Card,26626227.4,22546691.38,19858641.18,Q2,9,Educomp Solutions,22087923.84,22134508.03,74.58,normal
2019-20,Agriculture & Farmers Welfare,Directorate of Agriculture,Odisha,Cuttack,Pradhan Mantri Fasal Bima Yojana,209971368.79,158967154.55,128855952.46,Q4,2,Nuziveedu Seeds,204630440.84,206753602.54,61.37,normal
